x1,x2,x3,x4,ks,cs,u
0.010350853,-1.137194855,-0.071476169,-1.833902606,38844.56033,2941.775801,1000
0.091951155,0.464367631,0.106682459,2.083701078,23036.41526,2372.633763,-991.7521695
-0.009008765,-1.552064865,0.345132735,0.70743529,22243.92023,722.3161081,-446.5643725
0.106080291,-1.843211211,0.417025642,-0.501512536,11227.48322,2085.749522,700.1744819
-0.173474647,0.91925702,0.025551982,-2.180588985,15876.53964,1645.850636,1000
0.063652993,1.251369475,0.332913428,-1.15384833,21375.21055,2763.911477,1000
0.109106238,2.479226835,-0.485741743,-1.963486292,19925.94119,1502.029386,1000
0.138314482,-0.013994237,-0.076709419,0.75898078,11962.35746,2737.243403,334.5462216
-0.063613087,1.727450708,0.217081589,0.814290677,23477.40388,1873.981957,-1000
0.214349356,0.380372395,0.418356401,-0.054359081,18491.14663,2634.077885,1000
0.125962202,1.722203983,0.448350761,-1.395417679,18267.84806,1312.01527,1000
-0.228010853,-0.647944316,0.31064548,0.07465628,24528.91366,1241.211066,-986.2291996
-0.003741365,-0.675899501,0.223780547,2.445740558,21791.75442,2439.440013,-1000
-0.086592666,-0.662516914,0.148743823,1.433649417,19045.23042,623.219564,-1000
0.05554958,-1.054595164,-0.140011158,0.676799102,35491.88139,2930.054305,-195.2674186
0.196691056,-1.4594154,-0.373075399,0.731771807,20678.08565,1089.879994,-317.8203979
-0.063690312,-0.494880596,-0.186921386,-1.851069575,22115.14785,1593.314842,1000
0.185832095,-1.507933136,0.352121271,-2.015632532,38484.2116,1504.518296,1000
0.069793455,-2.031241649,-0.377204349,0.369506061,36819.01298,2637.988555,-299.3749234
-0.239499561,0.736444031,-0.080214219,-1.16102491,36353.14801,709.9533426,178.6809374
0.117663566,-0.495883462,0.342957082,1.06317679,39241.60331,2395.570875,774.3833306
0.233594449,1.803647245,-0.389342799,0.589052849,25383.79652,722.9135044,-578.4151597
