selected_flags,tire_friction,gear_ratio,predicted_speed_ms,predicted_time,profile_summary
"steep_elevation, high_speed_sections, tight_curves, long_straightaways, narrow_lanes",3.0,6.0,24.457042315621536,37.41120618842756,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, tight_curves, long_straightaways, wide_multi_lane",0.5,6.0,25.87601819243067,35.35966956061517,"Route Type: elevation, Length: 915.0m"
"steep_elevation, high_speed_sections, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,14.66373680160622,60.69172304915694,"Route Type: elevation, Length: 890.0m"
"steep_elevation, high_speed_sections, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.412266740254978,36.00495233978622,"Route Type: elevation, Length: 915.0m"
"steep_elevation, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.45950058935086,35.3489829727945,"Route Type: elevation, Length: 900.0m"
"high_speed_sections, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.411910169779194,36.61800828367169,"Route Type: straight_speed, Length: 930.5m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, long_straightaways, narrow_lanes",3.0,6.0,24.457042315621536,37.41120618842756,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, long_straightaways, wide_multi_lane",0.5,6.0,25.87601819243067,35.35966956061517,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, narrow_lanes, wide_multi_lane",0.5,6.0,14.66373680160622,60.69172304915694,"Route Type: elevation, Length: 890.0m"
"intersections_90, steep_elevation, high_speed_sections, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.412266740254978,36.00495233978622,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.45950058935086,35.3489829727945,"Route Type: elevation, Length: 900.0m"
"intersections_90, high_speed_sections, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",1.0,6.0,25.411910169779194,36.61800828367169,"Route Type: straight_speed, Length: 930.5m"
"steep_elevation, high_speed_sections, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.412266740254978,36.00495233978622,"Route Type: elevation, Length: 915.0m"
"intersections_90, steep_elevation, high_speed_sections, tight_curves, long_straightaways, narrow_lanes, wide_multi_lane",0.5,6.0,25.412266740254978,36.00495233978622,"Route Type: elevation, Length: 915.0m"
